"Date","Price","Open","High","Low","Vol","Change"
"Jun 30, 2016","670.0","636.5","673.0","631.2","88.200","5.26%"
"Jun 29, 2016","636.5","644.9","645.9","621.8","80.220","-1.29%"
"Jun 28, 2016","644.9","644.7","659.3","634.3","76.660","0.04%"
"Jun 27, 2016","644.7","625.4","650.3","615.2","99.810","3.08%"
"Jun 26, 2016","625.4","663.5","665.2","609.9","88.930","-5.74%"
"Jun 25, 2016","663.5","656.9","688.1","640.8","100.460","1.01%"
"Jun 24, 2016","656.9","620.8","687.4","616.4","196.690","5.81%"
"Jun 23, 2016","620.8","590.6","629.5","539.3","261.740","5.13%"
"Jun 22, 2016","590.6","667.4","677.8","586.6","202.320","-11.51%"
"Jun 21, 2016","667.4","734.0","732.2","626.0","248.080","-9.07%"
"Jun 20, 2016","734.0","761.0","764.6","717.4","112.290","-3.56%"
"Jun 19, 2016","761.0","753.8","765.1","740.4","60.450","0.96%"
"Jun 18, 2016","753.8","743.9","776.0","727.1","120.530","1.33%"
"Jun 17, 2016","743.9","761.2","771.9","704.2","215.870","-2.27%"
"Jun 16, 2016","761.2","690.8","769.7","687.4","229.570","10.20%"
"Jun 15, 2016","690.8","685.1","695.1","670.5","78.620","0.82%"
"Jun 14, 2016","685.1","700.1","702.5","654.7","135.650","-2.13%"
"Jun 13, 2016","700.1","666.5","718.2","652.8","216.730","5.03%"
"Jun 12, 2016","666.5","591.6","683.8","592.8","217.380","12.67%"
"Jun 11, 2016","591.6","577.9","592.6","576.3","42.220","2.37%"
"Jun 10, 2016","577.9","574.7","579.3","571.1","45.500","0.56%"
"Jun 09, 2016","574.7","580.5","580.7","569.3","48.610","-1.00%"
"Jun 08, 2016","580.5","575.6","582.4","567.8","49.600","0.86%"
"Jun 07, 2016","575.6","583.6","591.3","543.6","84.690","-1.37%"
"Jun 06, 2016","583.6","574.9","586.7","571.7","63.680","1.51%"
"Jun 05, 2016","574.9","572.0","583.6","567.8","64.520","0.52%"
"Jun 04, 2016","572.0","567.0","592.7","560.9","87.410","0.87%"
"Jun 03, 2016","567.0","537.1","573.7","534.3","106.250","5.57%"
"Jun 02, 2016","537.1","537.4","541.5","530.5","52.880","-0.06%"
"Jun 01, 2016","537.4","528.9","542.3","521.3","72.410","1.60%"
"0ay 31, 2016","528.9","532.3","546.9","513.2","114.080","-0.63%"
"0ay 30, 2016","532.3","516.0","544.2","512.8","77.530","3.14%"
"0ay 29, 2016","516.0","524.2","548.0","493.2","152.570","-1.56%"
"0ay 28, 2016","524.2","474.0","531.8","467.0","150.170","10.58%"
"0ay 27, 2016","474.0","453.3","479.2","452.7","135.680","4.58%"
"0ay 26, 2016","453.3","449.8","454.3","447.7","37.720","0.78%"
"0ay 25, 2016","449.8","446.1","451.2","445.4","37.720","0.82%"
"0ay 24, 2016","446.1","443.7","447.9","442.0","33.220","0.55%"
"0ay 23, 2016","443.7","439.6","445.0","438.2","35.900","0.93%"
"0ay 22, 2016","439.6","443.6","444.2","436.9","28.740","-0.91%"
"0ay 21, 2016","443.6","442.1","445.2","439.7","23.000","0.35%"
"0ay 20, 2016","442.1","442.7","447.8","435.4","48.430","-0.12%"
"0ay 19, 2016","442.7","454.2","455.2","441.1","59.390","-2.55%"
"0ay 18, 2016","454.2","453.3","456.6","452.4","32.610","0.21%"
"0ay 17, 2016","453.3","454.9","456.3","451.7","34.630","-0.36%"
"0ay 16, 2016","454.9","458.1","459.6","450.7","36.600","-0.71%"
"0ay 15, 2016","458.1","456.4","460.3","455.0","21.200","0.37%"
"0ay 14, 2016","456.4","455.4","457.7","453.6","20.360","0.23%"
"0ay 13, 2016","455.4","454.4","457.2","451.5","32.390","0.22%"
"0ay 12, 2016","454.4","452.5","455.3","448.4","49.190","0.43%"
"0ay 11, 2016","452.5","449.4","456.1","449.6","39.970","0.70%"
"0ay 10, 2016","449.4","460.4","462.1","446.8","59.990","-2.41%"
"0ay 09, 2016","460.4","457.9","464.2","455.4","48.420","0.56%"
"0ay 08, 2016","457.9","458.5","460.2","454.9","27.600","-0.13%"
"0ay 07, 2016","458.5","459.6","460.6","454.6","30.970","-0.24%"
"0ay 06, 2016","459.6","448.1","461.5","445.7","68.430","2.56%"
"0ay 05, 2016","448.1","445.8","449.2","444.4","41.890","0.51%"
"0ay 04, 2016","445.8","450.3","450.9","444.2","39.440","-0.99%"
"0ay 03, 2016","450.3","444.2","451.5","441.5","49.750","1.37%"
"0ay 02, 2016","444.2","452.2","453.9","440.2","73.850","-1.78%"
"0ay 01, 2016","452.2","448.5","454.2","447.5","21.750","0.83%"
"Apr 30, 2016","448.5","455.0","456.9","446.6","35.310","-1.42%"
"Apr 29, 2016","455.0","448.5","456.3","445.2","44.850","1.45%"
"Apr 28, 2016","448.5","447.0","450.1","433.9","81.940","0.33%"
"Apr 27, 2016","447.0","466.0","467.9","444.6","90.810","-4.08%"
"Apr 26, 2016","466.0","461.7","468.9","459.2","67.560","0.92%"
"Apr 25, 2016","461.7","457.6","466.2","451.8","81.660","0.91%"
"Apr 24, 2016","457.6","450.1","461.8","447.9","74.430","1.66%"
"Apr 23, 2016","450.1","445.3","451.5","443.1","42.360","1.08%"
"Apr 22, 2016","445.3","449.3","450.2","441.9","49.710","-0.90%"
"Apr 21, 2016","449.3","441.2","450.8","439.5","63.130","1.85%"
"Apr 20, 2016","441.2","434.9","442.9","432.5","74.360","1.43%"
"Apr 19, 2016","434.9","427.7","436.1","426.8","45.680","1.69%"
"Apr 18, 2016","427.7","426.3","429.1","424.4","32.580","0.34%"
"Apr 17, 2016","426.3","430.0","430.6","423.8","25.590","-0.88%"
"Apr 16, 2016","430.0","428.7","432.0","426.8","29.020","0.32%"
"Apr 15, 2016","428.7","424.0","429.5","423.3","54.120","1.10%"
"Apr 14, 2016","424.0","423.5","425.4","421.8","30.660","0.13%"
"Apr 13, 2016","423.5","424.7","426.6","421.4","38.090","-0.30%"
"Apr 12, 2016","424.7","421.4","426.7","420.7","57.710","0.79%"
"Apr 11, 2016","421.4","420.3","422.4","418.1","36.390","0.28%"
"Apr 10, 2016","420.3","418.0","421.6","416.7","23.300","0.53%"
"Apr 09, 2016","418.0","417.7","418.9","412.4","29.430","0.09%"
"Apr 08, 2016","417.7","420.1","423.5","415.5","46.950","-0.58%"
"Apr 07, 2016","420.1","421.3","422.0","417.9","36.060","-0.27%"
"Apr 06, 2016","421.3","422.1","422.8","419.5","32.670","-0.19%"
"Apr 05, 2016","422.1","419.3","423.7","418.0","40.890","0.65%"
"Apr 04, 2016","419.3","419.1","420.4","416.2","33.440","0.06%"
"Apr 03, 2016","419.1","418.5","420.2","417.0","22.800","0.13%"
"Apr 02, 2016","418.5","415.6","420.1","415.1","31.310","0.69%"
"Apr 01, 2016","415.6","415.7","416.9","412.8","38.220","0.00%"
"0ar 31, 2016","415.7","412.4","417.2","411.5","41.840","0.78%"
"0ar 30, 2016","412.4","415.0","416.2","408.4","43.280","-0.62%"
"0ar 29, 2016","415.0","422.2","424.5","406.4","69.110","-1.71%"
"0ar 28, 2016","422.2","424.6","425.4","419.7","43.450","-0.56%"
"0ar 27, 2016","424.6","416.5","427.4","415.5","61.720","1.94%"
"0ar 26, 2016","416.5","415.7","417.7","413.9","28.060","0.19%"
"0ar 25, 2016","415.7","414.7","417.3","412.4","34.590","0.23%"
"0ar 24, 2016","414.7","417.0","417.7","412.9","38.830","-0.54%"
"0ar 23, 2016","417.0","416.2","419.6","414.2","40.610","0.19%"
